frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
9,1,92.6,False,316,93,383,189,0.99,truck,0.36
40,7,56.0,False,239,121,287,166,0.99,car,1.6
81,12,48.4,False,308,115,358,163,0.99,car,3.24
108,13,48.6,False,238,118,283,160,0.99,car,4.32
166,15,54.3,False,385,120,439,166,0.99,car,6.64
186,16,47.1,False,232,116,280,162,0.99,car,7.44
204,17,61.4,False,310,112,360,164,0.99,car,8.16
297,20,49.0,False,314,122,360,167,0.99,car,11.88
351,23,39.1,False,304,119,355,166,0.99,car,14.04
375,24,43.4,False,396,69,509,219,0.99,truck,15.0
391,25,55.2,False,186,120,237,166,0.99,car,15.64
443,26,35.3,False,285,122,331,167,0.99,car,17.72
470,29,44.8,False,206,121,256,168,0.99,car,18.8
493,32,33.3,False,308,103,364,160,0.99,car,19.72
523,35,41.1,False,183,121,232,164,0.99,car,20.92
531,36,40.3,False,312,122,360,167,0.99,car,21.24
552,37,34.9,False,373,120,432,165,0.99,car,22.08
571,38,37.4,False,304,122,348,164,0.99,car,22.84
654,41,30.5,False,365,118,423,165,0.99,car,26.16
672,43,49.1,False,245,122,288,166,0.99,truck,26.88
693,42,28.8,False,419,95,507,193,0.99,bus,27.72
699,45,47.7,False,191,117,241,167,0.99,car,27.96
756,46,39.4,False,233,118,284,168,0.99,car,30.24
766,47,80.7,False,163,117,224,172,0.99,car,30.64
787,48,38.4,False,316,122,361,167,0.99,car,31.48
834,50,23.9,False,357,121,418,166,0.99,car,33.36
861,52,47.0,False,182,121,236,168,0.99,car,34.44
927,55,35.2,False,322,120,371,166,0.99,car,37.08
954,60,37.1,False,253,118,299,166,0.99,truck,38.16
981,61,35.2,False,227,116,277,168,0.99,car,39.24
997,53,7.0,False,403,82,516,207,0.99,bus,39.88
1020,58,51.3,False,-5,186,63,262,0.99,car,40.8
1029,65,43.4,False,318,117,365,172,0.99,car,41.16
1083,71,33.5,False,315,120,365,166,0.99,car,43.32
1104,73,40.1,False,181,116,234,166,0.99,car,44.16
