frame_number,vehicle_id,license_plate,speed,license_plate_confidence,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
96,1,UNKNOWN_001,18.38,0.0,False,686,361,849,504,0.87,car,3.2
26,6,UNKNOWN_006,72.0,0.0,False,392,360,575,506,0.82,car,0.8666666666666667
124,7,DETECTING,14.16,0.6449303490409183,False,376,362,540,504,0.82,car,4.133333333333334
160,8,UNKNOWN_008,10.94,0.0,False,763,364,917,503,0.77,car,5.333333333333333
108,13,UNKNOWN_013,120.0,0.0,True,486,205,591,290,0.52,car,3.6
24,14,ETECTING,108.0,0.8318683000075388,True,740,369,902,495,0.68,car,0.8
234,15,UNKNOWN_015,10.05,0.0,False,765,354,946,516,0.7,car,7.8
42,16,UNKNOWN_016,61.71,0.0,False,0,234,79,340,0.77,car,1.4
174,17,UNKNOWN_017,11.37,0.0,False,401,359,560,505,0.79,car,5.8
82,18,UNKNOWN_018,72.0,0.0,False,0,242,64,334,0.87,car,2.7333333333333334
298,21,OVERSR,9.14,0.8528513798425044,False,361,369,531,498,0.73,car,9.933333333333334
282,24,UNKNOWN_024,11.22,0.0,False,726,363,881,502,0.83,car,9.4
178,25,DETEC,61.71,0.9016813708246124,False,0,241,74,336,0.79,car,5.933333333333334
220,27,OVFRSPEED,72.0,0.5356236809131313,False,403,360,565,508,0.73,car,7.333333333333333
302,29,UNKNOWN_029,57.6,0.0,False,0,227,90,350,0.79,car,10.066666666666666
