frame_number,vehicle_id,speed,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
303,2,14.5,False,731,336,909,580,0.7,car,10.448275862068966
357,3,16.0,False,907,191,1057,330,0.67,car,12.310344827586206
327,4,10.7,False,956,228,1137,400,0.67,car,11.275862068965518
432,5,5.4,False,966,290,1159,469,0.71,car,14.89655172413793
335,6,13.3,False,1039,320,1279,584,0.89,car,11.551724137931034
482,7,7.9,False,1049,399,1279,631,0.66,car,16.620689655172413
121,8,0.6,False,78,4,153,45,0.63,car,4.172413793103448
137,9,0.75,False,683,29,721,61,0.79,car,4.724137931034483
155,10,1.7,False,593,40,646,81,0.71,car,5.344827586206897
199,11,0.6,False,760,18,802,55,0.77,car,6.862068965517241
197,12,1.5,False,603,30,650,69,0.66,car,6.793103448275862
193,13,6.2,False,792,66,864,126,0.64,car,6.655172413793103
203,14,3.8,False,683,53,731,105,0.65,car,7.0
249,15,2.3,False,685,59,735,112,0.58,car,8.586206896551724
425,18,12.4,False,752,392,982,675,0.77,car,14.655172413793103
269,19,2.3,False,780,36,831,78,0.69,car,9.275862068965518
293,20,16.3,False,706,222,830,367,0.67,car,10.10344827586207
333,21,13.9,False,728,267,868,425,0.72,car,11.482758620689655
269,22,3.0,False,684,39,727,77,0.62,car,9.275862068965518
299,23,2.6,False,770,31,817,71,0.68,car,10.310344827586206
435,24,17.0,False,985,312,1199,510,0.55,car,15.0
311,25,1.0,False,694,22,735,64,0.55,car,10.724137931034482
338,26,1.8,False,618,31,656,70,0.72,car,11.655172413793103
359,27,4.3,False,613,61,656,107,0.76,car,12.379310344827585
359,28,6.1,False,695,38,751,96,0.76,car,12.379310344827585
369,29,3.0,False,775,29,818,67,0.66,car,12.724137931034482
399,30,6.7,False,760,40,799,71,0.81,car,13.758620689655173
405,31,5.3,False,596,49,627,78,0.6,car,13.96551724137931
422,32,3.74,False,262,49,308,77,0.52,car,14.551724137931034
414,33,5.2,False,701,72,735,101,0.64,car,14.275862068965518
468,34,0.98,False,336,69,371,92,0.52,car,16.137931034482758
421,35,41.6,False,703,79,737,110,0.72,car,14.517241379310345
452,36,5.1,False,773,109,817,141,0.79,car,15.586206896551724
680,37,6.4,False,652,48,679,71,0.51,car,23.448275862068964
554,40,4.7,False,804,135,849,173,0.76,car,19.103448275862068
566,43,5.8,False,760,72,785,93,0.61,car,19.517241379310345
560,44,1.0,False,648,133,692,170,0.68,car,19.310344827586206
630,46,3.7,False,801,110,842,150,0.73,car,21.724137931034484
583,47,72.9,False,631,97,667,130,0.62,car,20.103448275862068
618,48,1.77,False,660,91,702,127,0.71,car,21.310344827586206
613,49,4.2,False,630,154,684,206,0.78,car,21.137931034482758
688,51,1.92,False,737,94,774,127,0.89,car,23.724137931034484
707,52,12.6,False,662,100,700,130,0.65,car,24.379310344827587
