vehicle_id,speed,entry_frame,exit_frame,track_length,x1,y1,x2,y2,confidence,vehicle_class
10,5.5,208,220,75,472,218,604,364,0.82,car
9,5.3,212,224,95,695,191,803,302,0.81,car
12,5.3,260,272,83,476,219,615,386,0.81,car
19,5.4,318,352,61,873,240,966,313,0.83,car
15,5.1,374,400,57,727,254,804,329,0.82,car
27,5.2,400,414,65,545,276,656,405,0.84,car
26,8.2,422,438,121,583,218,660,307,0.73,car
20,16.3,248,506,25,720,222,846,366,0.75,car
4,10.7,24,518,19,927,301,1059,412,0.75,car
31,5.3,494,518,123,341,323,466,429,0.77,car
33,5.2,554,572,134,612,223,681,288,0.89,car
13,6.2,224,610,69,983,306,1122,423,0.81,car
44,5.0,610,630,81,607,232,685,305,0.86,car
43,5.8,646,664,131,756,287,871,420,0.77,car
49,5.2,638,664,59,521,307,638,429,0.68,car
47,72.9,662,682,123,361,267,487,377,0.76,car
23,5.4,592,700,83,904,216,991,292,0.87,car
